pairID	nwk1	nwk2	class1	class2	class_pair	sum_overlap	TreeDistance	NyeSimilarity	MatchingSplitDistance	KendallColijn	MASTSize	year	year2	order	rank	sum_loci	morph_chars	rank_numeric	loci_diff	exact_prop	prop_overlap	class.pair2
pairID2449	QuickeLaurenne2009Ichneumonidae.nwk	SantosWahl2021Ichneumoninae.nwk	C	O	NA	49	0.645668097556292	20.8145734719022	245	112.56553646654	15	2009	2021	Hymenoptera	subfamily	1356	162	3	-1354	0.36734693877551	0.888248847926267	NA
pairID2451	QuickeLaurenne2009Ichneumonidae.nwk	SharanowskiRidenbaugh2021Ichneumonoidea.nwk	C	O	NA	26	0.285681212259291	17.8659912125385	38	32.8481354113137	15	2009	2021	Hymenoptera	family	542	162	3	-540	0.5	0.941391941391941	NA
pairID2454	Ramakodi2015Diptera.nwk	ZhangKang2016Tipulomorpha.nwk	M	M	MM	5	0.773445636391497	1	3	3	3	2015	2016	Diptera	order	26	0	6	0	1	0.441860465116279	NA
pairID2456	RamirezSalamanca2023Philonthina.nwk	ZylaSolodovnikov2020Staphylininae.nwk	G	G	GG	16	0.391271676080817	8.87705627705628	26	13.2664991614216	9	2023	2020	Coleoptera	subfamily	12	0	3	0	0.8125	0.744047619047619	NA
pairID2457	Randolf2013Sisyridae.nwk	WintertonHardyWiegmann2010Neuropterida.nwk	P	G	GP	21	0.500013132811582	10.6588651114967	45	32.78719262151	7	2013	2010	Other	superorder	4	82	7	-4	0.619047619047619	0.342105263157895	NA
pairID2458	Reemer2013Microdontinae.nwk	StahlsHippa2003Syrphidae.nwk	C	C	NA	10	0.405044274334075	5.16666666666667	8	6.6332495807108	7	2013	2003	Diptera	family	5	296	3	1	0.6	0.652892561983471	NA
pairID2459	Regier2008Saturniidae.nwk	RegierCook2008Bombycoidea.nwk	G	G	GG	7	0.224187178421862	3.33333333333333	2	1.4142135623731	6	2008	2008	Lepidoptera	family	9	0	3	-1	1	0.494252873563218	NA
pairID2460	Regier2008Saturniidae.nwk	Zwick2011Bombycoidea.nwk	G	G	GG	8	0	5	0	0	8	2008	2011	Lepidoptera	family	29	0	3	-21	0.875	0.511904761904762	NA
pairID2461	Regier2012Tortricidae.nwk	Regier2013Lepidoptera.nwk	G	G	GG	36	0.197977157590827	26.4212121212121	33	44.5308881564246	28	2012	2013	Lepidoptera	suborder	24	0	5	-14	0.805555555555556	0.109053497942387	NA
pairID2462	Regier2013Lepidoptera.nwk	Regier2015NonDitrysia.nwk	G	G	GG	48	0.0703210051911961	42.3450980392157	18	18.7616630392937	41	2013	2015	Lepidoptera	infraorder	38	0	5	0	0.208333333333333	0.916988416988417	NA
pairID2463	Regier2013Lepidoptera.nwk	RegierCook2008Bombycoidea.nwk	G	G	GG	28	0.18566951273093	21.1285714285714	24	21.2132034355964	19	2013	2008	Lepidoptera	suborder	24	0	5	14	0.785714285714286	0.942460317460317	NA
pairID2464	Regier2013Lepidoptera.nwk	RegierMitterDavis2015Tineoidea.nwk	G	G	GG	40	0.0640336647793972	34.849358974359	14	9.1104335791443	37	2013	2015	Lepidoptera	parvorder	38	0	5	0	0.275	0.899621212121212	NA
pairID2465	Regier2013Lepidoptera.nwk	Riyaz2023Noctuoidea.nwk	G	G	GG	14	0.208899222573241	9.08181818181818	11	5.19615242270663	11	2013	2023	Lepidoptera	superfamily	34	0	4	4	0.428571428571429	0.839222614840989	NA
pairID2466	Regier2013Lepidoptera.nwk	Sohn2013Yponomeutoidea.nwk	G	G	GG	58	0.227489066423358	43.0485733268342	88	52.3354564325181	38	2013	2013	Lepidoptera	parvorder	38	0	5	0	0.810344827586207	0.88126159554731	NA
pairID2467	Regier2013Lepidoptera.nwk	SohnRegier2016Gelechioidea.nwk	G	G	GG	47	0.267770841948	36.7859523809524	83	34.5253530032641	35	2013	2016	Lepidoptera	suborder	38	0	5	0	0.936170212765957	0.961538461538462	NA
pairID2468	Regier2013Lepidoptera.nwk	Toussaint2012Apameini.nwk	G	G	GG	14	0.414908908552266	7.92380952380952	17	12.328828005938	9	2013	2012	Lepidoptera	superfamily	21	0	4	17	0.5	0.85431654676259	NA
pairID2469	Regier2013Lepidoptera.nwk	WangLi2020Gelechioidea.nwk	G	G	GG	29	0.523838507596796	16.1710628695923	71	40.2119385257662	18	2013	2020	Lepidoptera	superfamily	27	0	4	11	0.379310344827586	0.7421875	NA
pairID2470	Regier2013Lepidoptera.nwk	Zwick2008Bombycoidea.nwk	G	G	GG	15	0.0606819038336994	11.6	2	15.3622914957372	11	2013	2008	Lepidoptera	superfamily	21	0	4	17	0.666666666666667	0.903041825095057	NA
pairID2471	Regier2013Lepidoptera.nwk	Zwick2011Bombycoidea.nwk	G	G	GG	24	0.178441183417797	17.5190476190476	19	6.92820323027551	17	2013	2011	Lepidoptera	superfamily	44	0	4	-6	0.916666666666667	0.95	NA
pairID2472	Regier2015NonDitrysia.nwk	RegierMitterDavis2015Tineoidea.nwk	G	G	GG	5	0	2	0	0	5	2015	2015	Lepidoptera	parvorder	38	0	5	0	1	0.495652173913044	NA
pairID2473	Regier2016Noctuoidea.nwk	RegierMitter2012Pyraloidea.nwk	G	G	GG	12	0.530469995378135	5.61428571428571	19	12.6885775404495	7	2016	2012	Lepidoptera	suborder	38	0	5	0	1	0.640287769784173	NA
pairID2474	RegierCook2008Bombycoidea.nwk	Zwick2008Bombycoidea.nwk	G	G	GG	15	0.236761814016429	9.91111111111111	12	13.490737563232	11	2008	2008	Lepidoptera	superfamily	7	0	4	3	0.6	0.5	NA
pairID2475	RegierCook2008Bombycoidea.nwk	Zwick2011Bombycoidea.nwk	G	G	GG	45	0.0644135300230616	39.4583333333333	19	8.71779788708135	42	2008	2011	Lepidoptera	superfamily	30	0	4	-20	0.911111111111111	0.896551724137931	NA
pairID2476	RegierMitterDavis2015Tineoidea.nwk	Sohn2013Yponomeutoidea.nwk	G	G	GG	24	0.327248702916	15.7391097206887	39	19.723082923316	17	2015	2013	Lepidoptera	suborder	38	0	5	0	0.333333333333333	0.394117647058824	NA
pairID2477	Rehn2003Odonata.nwk	SimonsenGlahder2022Lestidae.nwk	P	G	GP	12	0.277120469632689	5.67857142857143	6	5.3851648071345	8	2003	2022	Palaeoptera	suborder	6	122	5	-6	0.5	0.711111111111111	NA
pairID2478	RenBai2016Aphididae.nwk	RenWen2017Aphidinae.nwk	M	M	MM	11	0.15954947621433	6.91666666666667	4	11.13552872566	9	2016	2017	Condylognatha	infraorder	28	0	5	-2	1	0.764705882352941	NA
pairID2479	RenYang2019Limoniidae.nwk	RenZhang2019Pseudolimnophila.nwk	M	M	MM	9	0.241425112874926	5.05	4	4.69041575982343	8	2019	2019	Diptera	suborder	26	0	5	0	1	0.75	NA
pairID2480	RenYang2019Limoniidae.nwk	XuZhang2023Limoniidae.nwk	M	M	MM	6	0	3	0	0	6	2019	2023	Diptera	superfamily	26	0	4	0	1	0.428571428571429	NA
pairID2481	RenYang2019Limoniidae.nwk	ZhangKang2016Tipulomorpha.nwk	M	M	MM	8	0.194433591419366	4.25	3	3.3166247903554	7	2019	2016	Diptera	suborder	26	0	5	0	1	0.290322580645161	NA
pairID2482	RenZhang2019Pseudolimnophila.nwk	XuZhang2023Limoniidae.nwk	M	M	MM	8	0.301721920097557	4	4	4.89897948556636	7	2019	2023	Diptera	superfamily	26	0	4	0	0.875	0.521739130434783	NA
pairID2483	RenZhang2019Pseudolimnophila.nwk	ZhangKang2016Tipulomorpha.nwk	M	M	MM	8	0.267081155039928	4.08333333333333	3	2.82842712474619	7	2019	2016	Diptera	suborder	26	0	5	0	1	0.352941176470588	NA
pairID2484	RiveraSvenson2016Acanthopoidea.nwk	SvensonWhiting2009Mantodea.nwk	G	G	GG	22	0.127378329190094	16.5833333333333	16	12.4899959967968	19	2016	2009	Polyneoptera	suborder	19	0	5	1	0.590909090909091	0.218181818181818	NA
pairID2485	Riyaz2023Noctuoidea.nwk	Wang2015Lymantriinae.nwk	G	G	GG	11	0.235906805997469	6.71904761904762	8	8.30662386291807	7	2023	2015	Lepidoptera	subfamily	23	0	3	7	0.545454545454545	0.447963800904977	NA
pairID2486	Riyaz2023Noctuoidea.nwk	Zahiri2012Erebidae.nwk	G	G	GG	21	0.307482586636868	13.1375816993464	32	16.6733320005331	15	2023	2012	Lepidoptera	family	23	0	3	7	0.285714285714286	0.348591549295775	NA
pairID2487	RobertsonSlipinski2013Corylophidae.nwk	RobertsonSlipinski2015Cucujoidea.nwk	C	G	CG	13	0.239868136581814	8.4	8	6.78232998312527	10	2013	2015	Coleoptera	superfamily	16	48	4	0	0.692307692307692	0.0481099656357388	NA
pairID2488	RobertsonSlipinski2013Corylophidae.nwk	SlippinskiTomaszewska2009Corylophidae.nwk	C	P	NA	11	0.3266301746734	6.19047619047619	9	5.47722557505166	8	2013	2009	Coleoptera	superfamily	8	96	4	8	1	0.823529411764706	NA
pairID2489	RobertsonSlipinski2013Corylophidae.nwk	TomaszewskaSzawaryn2023Coccinelloidea.nwk	C	G	CG	13	0.239868136581814	8.4	8	6.78232998312527	10	2013	2023	Coleoptera	superfamily	16	48	4	0	0.692307692307692	0.0880503144654088	NA
pairID2490	RobertsonSlipinski2015Cucujoidea.nwk	RobertsonWhiting2008Cucujoidea.nwk	G	G	GG	53	0.324076658535892	35.6091190182367	117	88.2496458916408	23	2015	2008	Coleoptera	infraorder	10	0	5	6	0.69811320754717	0.936507936507937	NA
pairID2491	RobertsonSlipinski2015Cucujoidea.nwk	ShinClarke2018Curculionidae.nwk	G	O	GO	12	0.258104417796933	7.33333333333333	8	7.81024967590665	10	2015	2018	Coleoptera	infraorder	530	0	5	-514	0.583333333333333	0.838068181818182	NA
pairID2492	RobertsonSlipinski2015Cucujoidea.nwk	SlippinskiTomaszewska2009Corylophidae.nwk	G	P	GP	14	0.328342264201861	8.20562770562771	15	13.6014705087354	8	2015	2009	Coleoptera	superfamily	8	48	4	8	0.785714285714286	0.98993288590604	NA
pairID2493	RobertsonSlipinski2015Cucujoidea.nwk	SongLi2020Coccinellidae.nwk	G	M	GM	15	0.221466816441396	9.81666666666667	9	10	12	2015	2020	Coleoptera	superfamily	45	0	4	-29	0.533333333333333	0.933544303797468	NA
pairID2494	RobertsonSlipinski2015Cucujoidea.nwk	TomaszewskaEscalona2021Coccinellini.nwk	G	G	GG	30	0.430630699507607	17.6460724188665	74	46.5510472492295	17	2015	2021	Coleoptera	family	14	0	3	2	0.366666666666667	0.686046511627907	NA
pairID2495	RobertsonSlipinski2015Cucujoidea.nwk	TomaszewskaSzawaryn2023Coccinelloidea.nwk	G	G	GG	147	0.113845322524313	129.624892227345	154	74.2967024840268	121	2015	2023	Coleoptera	superorder	16	0	7	0	0.993197278911565	0.983333333333333	NA
pairID2496	RobertsonSlipinski2015Cucujoidea.nwk	ZhangChe2018Coleoptera.nwk	G	O	GO	72	0.185475591719393	53.4986783765661	83	19.6468827043885	51	2015	2018	Coleoptera	infraorder	103	0	5	-87	0.319444444444444	0.50513698630137	NA
pairID2497	RobertsonWhiting2008Cucujoidea.nwk	TomaszewskaSzawaryn2023Coccinelloidea.nwk	G	G	GG	39	0.315303227807168	25.4440869440869	70	32.1403173599764	21	2008	2023	Coleoptera	superfamily	10	0	4	-6	0.666666666666667	0.326315789473684	NA
pairID2498	RobertsonWhiting2008Cucujoidea.nwk	ZhangChe2018Coleoptera.nwk	G	O	GO	25	0.363315923512928	14.7187747035573	43	35.7770876399966	10	2008	2018	Coleoptera	infraorder	97	0	5	-93	0.44	0.170798898071625	NA
pairID2499	Robillard2006Eneopterinae.nwk	TanMalem2021Lebinthini.nwk	P	G	GP	20	0.254011174606595	13.9246031746032	20	10.4880884817015	14	2006	2021	Polyneoptera	family	8	198	3	-8	0.95	0.555555555555556	NA
